name,email,subject,date,year,month,day,hour,minute,domain,party,disclaimer,committee,cogito_14b,gpt-4o_november,granite31_dense,olmo2_13b,phi4_november,mistral_small,qwq_november,internlm3_8b,qwen3_14b,qwen25_november,qwen3_32b,granite3.2_november,cogito_70b,llama_4,internlm2_november,phi3_november,openthinker_32b,olmo2_7b,llama33_november,cogito_32b,granite3.3_november,gemma3_27b,deepseek_r1,gemini_25,qwen3_8b,command_a,gpt_5,gemini20_flash,claude35_haiku,mixtral_november,command_r7b,gpt_41,mistral_nemo,exaone35_32b,hermes3_70b,gemma3_12b,gptoss20b_november,claude_sonnet,exaone_deep,tulu3_8b,gemma2_november,claude35_sonnet,phi4_reasoning,gemini25_flash,qwen25_72b,phi4_mini,claude37_sonnet,o3-mini_november,gemma2_27b,claude_haiku,model_count,exact_matches
Sherrod Brown,hello@fightforreform.org,please don’t scroll past this message,11/1/24 21:57,2024,11,1,21,57,fightforreform.org,D,True,END CITIZENS UNITED NONFEDERAL,FRIENDS OF SHERROD BROWN,END CITIZENS UNITED-NONFEDERAL,END CITIZENS UNITED NONFEDERAL,END CITIZENS UNITED-NONFEDERAL,END CITIZENS UNITED NONFEDERAL,END CITIZENS UNITED-NONFEDERAL,END CITIZENS UNITED-NONFEDERAL,END CITIZENS UNITED-NONFEDERAL,END CITIZENS UNITED-NONFEDERAL,END CITIZENS UNITED-NONFEDERAL,END CITIZENS UNITED-NONFEDERAL,END CITIZENS UNITED-NONFEDERAL,END CITIZENS UNITED-NONFEDERAL,END CITIZENS UNITED-NONFEDERAL,END CITIZENS UNITED NONFEDERAL,END CITIZENS UNITED NONFEDERAL,END CITIZENS UNITED-NONFEDERAL,END CITIZENS UNITED NONFEDERAL,END CITIZENS UNITED-NONFEDERAL,END CITIZENS UNITED NONFEDERAL,FRIENDS OF SHERROD BROWN,END CITIZENS UNITED-NONFEDERAL,END CITIZENS UNITED-NONFEDERAL,END CITIZENS UNITED NONFEDERAL,END CITIZENS UNITED-NONFEDERAL,END CITIZENS UNITED-NONFEDERAL,END CITIZENS UNITED-NONFEDERAL,END CITIZENS UNITED-NONFEDERAL,END CITIZENS UNITED-NONFEDERAL,END CITIZENS UNITED NONFEDERAL,END CITIZENS UNITED NONFEDERAL,END CITIZENS UNITED-NONFEDERAL,END CITIZENS UNITED NONFEDERAL,END CITIZENS UNITED-NONFEDERAL,END CITIZENS UNITED NONFEDERAL,END CITIZENS UNITED-NONFEDERAL,END CITIZENSUNITED-NONFEDERAL,END CITIZENS UNITED-NONFEDERAL,END CITIZENS UNITED-NONFEDERAL,END CITIZENS UNITED-NONFEDERAL,END CITIZENS UNITED NONFEDERAL,END CITIZENS UNITED-NONFEDERAL,END CITIZENS UNITED NONFEDERAL,END CITIZENS UNITED NONFEDERAL,END CITIZENS UNITED NONFEDERAL,END CITIZENS UNITED NONFEDERAL,END CITIZENS UNITED-NONFEDERAL,END CITIZENS UNITED-NONFEDERAL,END CITIZENS UNITED NONFEDERAL,END CITIZENS UNITED-NONFEDERAL,50,17
Montana Senate Update,info@chrisforpa.com,Tim Sheehy lied about his military service.,11/1/24 22:00,2024,11,1,22,0,chrisforpa.com,D,True,CHRIS DELUZIO FOR CONGRESS,CHRIS DELUZIO FOR CONGRESS,CHRIS DELUZIO FOR CONGRESS,CHRIS DELUZIO FOR CONGRESS,CHRIS DELUZIO FOR CONGRESS,CHRIS DELUZIO FOR CONGRESS,CHRIS DELUZIO FOR CONGRESS,CHRIS DELUZIO FOR CONGRESS,CHRIS DELUZIO FOR CONGRESS,,CHRIS DELUZIO FOR CONGRESS,,CHRIS DELUZIO FOR CONGRESS,CHRIS DELUZIO FOR CONGRESS,CHRIS DELUZIO FOR CONGRESS,CHRIS DELUZIO FOR CONGRESS,CHRISDELUZIOFORCONGRESS,CHRIS DELUZIO FOR CONGRESS,TESTERS CAMPAIGN COMMITTEE,CHRIS DELUZIO FOR CONGRESS,CHRIS DELUZIO FOR CONGRESS,CHRIS DELUZIO FOR CONGRESS,CHRIS DELUZIO FOR CONGRESS,CHRIS DELUZIO FOR CONGRESS,CHRIS DELUZIO FOR CONGRESS,CHRIS DELUZIO FOR CONGRESS,CHRIS DELUZIO FOR CONGRESS,CHRIS DELUZIO FOR CONGRESS,CHRIS DELUZIO FOR CONGRESS,CHRIS DELUZIO FOR CONGRESS,CHRIS DELUZIO FOR CONGRESS,CHRIS DELUZIO FOR CONGRESS,CHRIS DELUZIO FOR CONGRESS,CHRIS DELUZIO FOR CONGRESS,CHRIS DELUZIO FOR CONGRESS,,CHRIS DELUZIO FOR CONGRESS,CHRIS DELUZIO FOR CONGRESS,CHRIS DELUZIO FOR CONGRESS,CHRIS DELUZIO FOR CONGRESS,CHRIS DELUZIO FOR CONGRESS,CHRIS DELUZIO FOR CONGRESS,CHRIS DELUZIO FOR CONGRESS,CHRIS DELUZIO FOR CONGRESS,CHRIS DELUZIO FOR CONGRESS,CHRIS DELUZIO FOR CONGRESS,CHRIS DELUZIO FOR CONGRESS,CHRIS DELUZIO FOR CONGRESS,CHRIS DELUZIO FORCONGRESS,CHRIS DELUZIO FOR CONGRESS,CHRIS DELUZIO FOR CONGRESS,47,44
Steve Daines,info@action.supportstevedaines.com,I’ve been getting calls and texts all day...,11/1/24 22:00,2024,11,1,22,0,action.supportstevedaines.com,R,True,STEVE DAINES FOR MONTANA,STEVE DAINES FOR MONTANA,STEVE DAINES FOR MONTANA,STEVE DAINES FOR MONTANA,STEVE DAINES FOR MONTANA,STEVE DAINES FOR MONTANA,STEVE DAINES FOR MONTANA,STEVE DAINES FOR MONTANA,STEVE DTAINES FOR MONTANA,STEVE DAINES FOR MONTANA,STEVE DAINES FOR MONTANA,,STEVE DAINES FOR MONTANA,STEVE DAINES FOR MONTANA,STEVE DAINES FOR MONTANA,STEVE DAINES FOR MONTANA,STEVE DAINES PAC,STEVE DAINES FOR MONTANA,STEVE DAINES FOR SENATE,STEVE DAINES FOR MONTANA,STEVE DAINES FOR MONTANA,STEVE DAINES FOR MONTANA,STEVE DAINES FOR MONTANA,STEVE DAINES FOR MONTANA,STEVE DAINES FOR MONTANA,STEVE DAINES FOR MONTANA,STEVE DAINES FOR MONTANA,STEVE DAINES FOR MONTANA,STEVE DAINES FOR MONTANA,STEVE DAINES FOR MONTANA,STEVE DAINES FOR MONTANA,STEVE DAINES FOR MONTANA,STEVE DAINES FOR MONTANA,STEVE DAINES FOR MONTANA,STEVE DAINES FOR MONTANA,STEVE DAINES FOR MONTANA,STEVE DAINES FORMONTANA,STEVE DAINES FORMONTANA,STEVE DAINES FOR MONTANA,STEVE DAINES FOR SENATE,STEVE DAINES FOR MONTANA,STEVE DAINES FOR MONTANA,STEVE DAINES FOR MONTANA,STEVE DAINES FOR MONTANA,STEVE DAINES FOR MONTANA,STEVE DAINES FOR MONTANA,STEVE DAINES FOR MONTANA,STEVE DAINES FOR MONTANA,STEVE DAINES FOR MONTANA,STEVE DAINES FOR MONTANA,STEVE DAINES FOR MONTANA,49,43
are you there!?! [DOTL],info@democracyonthelinepac.com,The next 24 hours are critical,11/1/24 22:02,2024,11,1,22,2,democracyonthelinepac.com,,True,DEMOCRACY ON THE LINE PAC,DEMOCRACY ON THE LINE PAC,DEMOCRACY ON THE LINE PAC,DEMOCRACY ON THE LINE PAC,DEMOCRACY ON THE LINE PAC,DEMOCRACY ON THE LINE PAC,DEMOCRACY ON THE LINE PAC,DEMOCRACY ON THE LINE PAC,DEMOCRACY ON THE LINE P AC,,DEMOCRACY ON THE LINE PAC,DEMOCRACY ON THE LINE PAC,DEMOCRACY ON THE LINE PAC,DEMOCRACY ON THE LINE PAC,DEMOCRACY ON THE LINE PAC,DEMOCRACY ON THE LINE PAC,DEMOCRACY ON THE LINE PAC,DEMOCRACY ON THE LINE PAC,DEMOCRACY ON THE LINE PAC,DEMOCRACY ON THE LINE PAC,DEMOCRACY ON THE LINE PAC,DEMOCRACY ON THE LINE PAC,DEMOCRACY ON THE LINE PAC,,DEMOCRACY ON THE LINE PAC,DEMOCRACY ON THE LINE PAC,DEMOCRACY ON THE LINE PAC,DEMOCRACY ON THE LINE PAC (WWW.DEMOCRACYONTHELINEPAC.COM),DEMOCRACY ON THE LINE PAC,DEMOCRACY ON THE LINE PAC,DEMOCRACY ON THE LINE PAC,DEMOCRACY ON THE LINE PAC,DEMOCRACY ON THE LINE PAC,DEMOCRACY ON THE LINE PAC,DEMOCRACY ON THE LINE PAC,DEMOCRACY ON THE LINE PAC,DEMOCRACY ON THE LINE PAC,DEMOCRACY ON THE LINE PAC,DEMOCRACY ON THE LINE PAC,DEMOCRACY ON THE LINE PAC,DEMOCRACY ON THE LINE PAC,DEMOCRACY ON THE LINE PAC,DEMOCRACY ON THE LINE PAC,DEMOCRACY ON THE LINE PAC,DEMOCRACY ON THE LINE PAC,DEMOCRACY ON THE LINE PAC,DEMOCRACY ON THE LINE PAC,DEMOCRACY ON THE LINE PAC,DEMOCRACY ON THE LINE PAC,DEMOCRACY ON THE LINE PAC,DEMOCRACY ON THE LINE PAC,48,46
Rick Larsen,campaign@ricklarsen.org,The GOP will seek “massive reform” to the Affordable Care Act,11/1/24 22:05,2024,11,1,22,5,ricklarsen.org,D,True,CITIZENS TO ELECT RICK LARSEN,CITIZENS TO ELECT RICK LARSEN,CITIZENS TO ELECT RICK LARSEN,CITIZENS TO ELECT RICK LARSEN,CITIZENS TO ELECT RICK LARSEN,CITIZENS TO ELECT RICK LARSEN,CITIZENS TO ELECT RICK LARSEN,CITIZENS TO ELECT RICK LARSEN,CITIZENS TO ELECT RICK L ARSEN,CITIZENS TO ELECT RICK LARSEN,CITIZENS TO ELECT RICK LARSEN,CITIZENS TO ELECT RICK LARSEN,CITIZENS TO ELECT RICK LARSEN,CITIZENS TO ELECT RICK LARSEN,CITIZENS TO ELECT RICK LARSEN,CITIZENS TO ELECT RICK LARSEN,ADAM FOR COLORADO,CITIZENS TO ELECT RICK LARSEN,CITIZENS TO ELECT RICK LARSEN,CITIZENS TO ELECT RICK LARSEN,CITIZENS TO ELECT RICK LARSEN,CITIZENS TO ELECT RICK LARSEN,CITIZENS TO ELECT RICK LARSEN,,CITIZENS TO ELECT RICK LARSEN,CITIZENS TO ELECT RICK LARSEN,,CITIZENS TO ELECT RICK LARSEN,CITIZENS TO ELECT RICK LARSEN,CITIZENS TO ELECT RICK LARSEN,CITIZENS TO ELECT RICK LARSEN,,CITIZENS TO ELECT RICK LARSEN,CITIZENS TO ELECT RICK LARSEN,CITIZENS TO ELECT RICK LARSEN,,CITIZENS TO ELECT RICK LARSEN,CITIZENS TOELECT RICK LARSEN,CITIZENS TO ELECT RICK LARSEN,CITIZENS TO ELECT RICK LARSEN,CITIZENS TO ELECT RICK LARSEN,CITIZENS TO ELECT RICK LARSEN,CITIZENS TO ELECT RICK LARSEN,CITIZENS TO ELECT RICK LARSEN,CITIZENS TO ELECT RICK LARSEN,CITIZENS TO ELECT RICK LARSEN,CITIZENS TO ELECT RICK LARSEN,CITIZENS TO ELECT RICK LARSEN,CITIZENS TO ELECT RICK LARSEN,CITIZENS TO ELECT RICK LARSEN,CITIZENS TO ELECT RICK LARSEN,46,43
Ted Cruz,info@conservativesdefendingfreedom.com,Why is my race so close?,11/1/24 22:06,2024,11,1,22,6,conservativesdefendingfreedom.com,R,True,TED CRUZ FOR SENATE,TED CRUZ FOR SENATE,TED CRUZ FOR SENATE,TED CRUZ FOR SENATE,TED CRUZ FOR SENATE,TED CRUZ FOR SENATE,TED CRUZ FOR SENATE,TED CRUZ FOR SENATE,TED CRUZ FOR SENATE,,TED CRUZ FOR SENATE,TED CRUZ FOR SENATE,TED CRUZ FOR SENATE,TED CRUZ FOR SENATE,TED CRUZ FOR SENATE,TED CRUZ FOR SENATE,TED CRUZ FOR SENATE,TED CRUZ FOR SENATE,TED CRUZ FOR SENATE,TED CRUZ FOR SENATE,TED CRUZ FOR SENATE,TED CRUZ FOR SENATE,TED CRUZ FOR SENATE,TED CRUZ FOR SENATE,TED CRUZ FOR SENATE,TED CRUZ FOR SENATE,TED CRUZ FOR SENATE,TED CRUZ FOR SENATE,TED CRUZ FOR SENATE,TED CRUZ FOR SENATE,TED CRUZ FOR SENATE,TED CRUZ FOR SENATE,TED CRUZ FOR SENATE,TED CRUZ FOR SENATE,TED CRUZ FOR SENATE,TED CRUZ FOR SENATE,TED CRUZ FOR SENATE,TED CRUZ FOR SENATE,TED CRUZ FOR SENATE,TED CRUZ FOR SENATE,TED CRUZ FOR SENATE,TED CRUZ FOR SENATE,TED CRUZ FOR SENATE,TED CRUZ FOR SENATE,TED CRUZ FOR SENATE,TED CRUZ FOR SENATE,TED CRUZ FOR SENATE,TED CRUZ FOR SENATE,TED CRUZ FOR SENATE,TED CRUZ FOR SENATE,TED CRUZ FOR SENATE,49,49
Defeat Boebert PAC,info@defeatboebertpac.com,three sentences,11/1/24 22:06,2024,11,1,22,6,defeatboebertpac.com,D,True,DEFEAT BOEBERT PAC,DEFEAT BOEBERT PAC,DEFEAT BOEBERT PAC,DEFEAT BOEBERT PAC,DEFEAT BOEBERT PAC,DEFEAT BOEBERT PAC,DEFEAT BOEBERT PAC,DEFEAT BOEBERT PAC,DEFEATBOEBERT PAC,,DEFEATBOEBERT PAC,DEFEAT BOEBERT PAC,DEFEAT BOEBERT PAC,DEFEAT BOEBERT PAC,DEFEAT BOEBERT PAC,DEFEAT BOEBERT PAC,DEFEATBOETBERTPAC,DEFEAT BOEBERT PAC,DEFEAT BOEBERT PAC,DEFEAT BOEBERT PAC,DEFEAT BOEBERT PAC,DEFEAT BOEBERT PAC,DEFEAT BOEBERT PAC,DEFEAT BOEBERT PAC,DEFEAT BOEBERT PAC,DEFEATBOEBERT PAC,DEFEAT BOEBERT PAC,DEFEATBOEBERT PAC,DEFEAT BOEBERT PAC,DEFEAT BOEBERT PAC,DEFEAT BOEBERT PAC,DEFEAT BOEBERT PAC,DEFEAT BOEBERT PAC,DEFEAT BOEBERT PAC,DEFEATBOEBERT PAC,DEFEAT BOEBERT PAC,DEFEAT BOEBERT PAC,DEFEATBOEBERT PAC,DEFEATBOEBERT PAC,DEFEATBOEBERT PAC,DEFEAT BOEBERT PAC,DEFEAT BOEBERT PAC,DEFEAT BOEBERT PAC,DEFEAT BOEBERT PAC,DEFEAT BOEBERT PAC,DEFEATBOEBERT PAC,DEFEAT BOEBERT PAC,DEFEAT BOEBERT PAC,DEFEATBOEBERT PAC,DEFEAT BOEBERT PAC,DEFEAT BOEBERT PAC,49,38
EMILYs List,information@emilyslist.org,Your first donation:,11/1/24 22:06,2024,11,1,22,6,emilyslist.org,D,True,EMILYS LIST,EMILYS LIST,EMILYS LIST,EMILYS LIST,EMILYS LIST,EMILYS LIST,EMILYS LIST,EMILY'S LIST,EMILYS LIST WWW.EMILYSLIST.ORG,,EMILYS LIST,EMILYS LIST,EMILYS LIST,EMILYS LIST,EMILYS LIST,EMILYS LIST,EMILYS LIST,EMILYS LIST,EMILYS LIST,EMILY'S LIST,EMILYS LIST,EMILYS LIST,EMILYS LIST,EMILYS LIST,EMILYS LIST,EMILYS LIST,EMILYS LIST,EMILYS LIST,EMILYS LIST,EMILYS LIST,EMILY'S LIST,EMILYS LIST,EMILYS LIST,EMILYS LIST,EMILYS LIST,EMILY'S LIST,EMILYS LIST,"EMILYS LIST P.O. BOX 96612 WASHINGTON, DC20077 UNITED STATES",EMILYS LIST,EMILYS LIST,EMILYS LIST,EMILYS LIST,EMILYS LIST,EMILYS LIST,EMILYS LIST,EMILYS LIST,EMILYS LIST,EMILYS LIST,EMILYS LIST,EMILYS LIST,EMILYS LIST,49,43
Sherrod Brown,info@jeanneshaheen.org,your $5 will help us win this race,11/1/24 22:06,2024,11,1,22,6,jeanneshaheen.org,D,True,SHAHEEN FOR SENATE,SHAHEEN FOR SENATE,SHAHEEN FOR SENATE,SHAHEEN FOR SENATE,SHAHEEN FOR SENATE,SHAHEEN FOR SENATE,SHAHEEN FOR SENATE,SHAHEEN FOR SENATE,SHAHEEN FOR SENATE,,SHAHEEN FOR SENATE,,SHAHEEN FOR SENATE,SHAHEEN FOR SENATE,SHAHEEN FOR SENATE,SHAHEEN FOR SENATE,OKGOP,SHAHEEN FOR SENATE,SHAHEEN FOR SENATE,SHAHEEN FOR SENATE,SHAHEEN FOR SENATE,SHAHEEN FOR SENATE,SHAHEEN FOR SENATE,SHERROD BROWN FOR SENATE,SHAHEEN FOR SENATE,,SHAHEEN FOR SENATE,SHAHEEN FOR SENATE,SHAHEEN FOR SENATE,SHAHEEN FOR SENATE,SHAHEEN FOR SENATE,SHAHEEN FOR SENATE,SHAHEEN FOR SENATE,SHAHEEN FOR SENATE,SHAHEEN FOR SENATE,SHAHEEN FOR SENATE,SHAHEEN FOR SENATE,SHAHEEN FOR SENATE,SHAHEEN FOR SENATE,SHAHEEN FOR SENATE,SHAHEEN FOR SENATE,SHAHEEN FOR SENATE,SHAHEEN FOR SENATE,SHAHEEN FOR SENATE,SHAHEEN FOR SENATE,SHAHEEN FOR SENATE,SHAHEEN FOR SENATE,SHAHEEN FOR SENATE,SHAHEEN FOR SENATE,SHAHEEN FOR SENATE,SHAHEEN FOR SENATE,47,45
Sen. Jacky Rosen,info@action.rosenfornevada.com,We absolutely cannot afford to fall behind,11/1/24 22:07,2024,11,1,22,7,action.rosenfornevada.com,D,True,ROSEN FOR NEVADA,ROSEN FOR NEVADA,ROSEN FOR NEVADA,ROSEN FOR NEVADA,ROSEN FOR NEVADA,ROSEN FOR NEVADA,ROSEN FOR NEVADA,ROSEN FOR NEVADA,ROSEN FOR NEVADA,ROSEN FOR NEVADA,ROSEN FOR NEVADA,,ROSEN FOR NEVADA,ROSEN FOR NEVADA,ROSEN FOR NEVADA,ROSEN FOR NEVADA,ROSENFOR NEVADA,ROSEN FOR NEVADA,ROSEN FOR NEVADA,ROSEN FOR NEVADA,ROSEN FOR NEVADA,ROSEN FOR NEVADA,ROSENFOR NEVADA,ROSEN FOR NEVADA,ROSEN FOR NEVADA,ROSENFOR NEVADA,ROSEN FOR NEVADA,ROSENFOR NEVADA ROSEN FOR NEVADA,ROSEN FOR NEVADA,ROSEN FOR NEVADA,ROSEN FOR NEVADA,ROSENFORNEVADA,ROSEN FOR NEVADA,ROSEN FOR NEVADA,ROSEN FOR NEVADA,,ROSENFOR NEVADA,ROSENFOR NEVADA,ROSEN FOR NEVADA,ROSEN FOR NEVADA,ROSEN FOR NEVADA,ROSEN FOR NEVADA,ROSEN FOR NEVADA,ROSEN FOR NEVADA,ROSEN FOR NEVADA,ROSEN FOR NEVADA,ROSEN FOR NEVADA,ROSEN FOR NEVADA,ROSEN FOR NEVADA,ROSEN FOR NEVADA,ROSEN FOR NEVADA,48,41
Colin Allred,reply@e.adamschiff.com,Here are the numbers,11/1/24 22:10,2024,11,1,22,10,e.adamschiff.com,D,True,SCHIFF FOR SENATE,SCHIFF FOR SENATE,SCHIFF FOR SENATE,SCHIFF FOR SENATE,SCHIFF FOR SENATE,SCHIFF FOR SENATE,SCHIFF FOR SENATE,SCHIFF FOR SENATE,,,SCHIFF FOR SENATE,SCHIFF FOR SENATE,SCHIFF FOR SENATE,SCHIFF FOR SENATE,SCHIFF FOR SENATE,SCHIFF FOR SENATE,,SCHIFF FOR SENATE,SCHIFF FOR SENATE,SCHIFF FOR SENATE,SCHIFF FOR SENATE,SCHIFF FOR SENATE,SCHIFF FOR SENATE,SCHIFF FOR SENATE,SCHIFF FOR SENATE,SCHIFF FOR SENATE,,SCHIFF FOR SENATE,SCHIFF FOR SENATE,SCHIFF FOR SENATE,,,SCHIFF FOR SENATE,SCHIFF FOR SENATE,SCHIFF FOR SENATE,SCHIFF FOR SENATE,SCHIFF FOR SENATE,SCHIFF FOR SENATE,SCHIFF FOR SENATE,SCHIFF FOR SENATE,SCHIFF FOR SENATE,SCHIFF FOR SENATE,SCHIFF FOR SENATE,SCHIFF FOR SENATE,SCHIFF FOR SENATE,SCHIFF FOR SENATE,SCHIFF FOR SENATE,SCHIFF FOR SENATE,SCHIFF FOR SENATE,SCHIFF FOR SENATE,SCHIFF FOR SENATE,44,44
Jane Fonda,campaign@andreasalinasfororegon.com,Let’s send these climate champions to Congress,11/1/24 22:11,2024,11,1,22,11,andreasalinasfororegon.com,D,True,ANDREA SALINAS FOR OREGON,ANDREA SALINAS FOR OREGON,ANDREA SALINAS FOR OREGON,ANDREA SALINAS FOR OREGON,ANDREA SALINAS FOR OREGON,ANDREA SALINAS FOR OREGON,ANDREA SALINAS FOR OREGON,ANDREA SALINAS FOR OREGON,JANE FONDA CLIMATE PAC & PCCC,,ANDREA SALINAS FOR OREGON,ANDREA SALINAS FOR OREGON,ANDREA SALINAS FOR OREGON,ANDREA SALINAS FOR OREGON,ANDREA SALINAS FOR OREGON,ANDREA SALINAS FOR OREGON,JANE FONDA CLIMATE PAC,ANDREA SALINAS FOR OREGON,ANDREA SALINAS FOR OREGON,ANDREA SALINAS FOR OREGON,ANDREA SALINAS FOR OREGON,ANDREA SALINAS FOR OREGON,ANDREA SALINAS FOR OREGON,ANDREA SALINAS FOR OREGON,ANDREA SALINAS FOR OREGON,ANDREA SALINAS FOR OREGON,ANDREA SALINAS FOR OREGON,ANDREA SALINAS FOR OREGON,ANDREA SALINAS FOR OREGON,ANDREA SALINAS FOR OREGON,ANDREA SALINAS FOR OREGON,PCCC,ANDREA SALINAS FOR OREGON,ANDREA SALINAS FOR OREGON,ANDREA SALINAS FOR OREGON,ANDREA SALINAS FOR OREGON,ANDREA SALINAS FOR OREGON,ANDREA SALINAS FOR OREGON,ANDREA SALINAS FOR OREGON,ANDREA SALINAS FOR OREGON,ANDREA SALINAS FOR OREGON,ANDREA SALINAS FOR OREGON,ANDREA SALINAS FOR OREGON,ANDREA SALINAS FOR OREGON,ANDREA SALINAS FOR OREGON,ANDREA SALINAS FOR OREGON,PCCC,ANDREA SALINAS FOR OREGON,ANDREA SALINAS FOR OREGON,ANDREA SALINAS FOR OREGON,ANDREA SALINAS FOR OREGON,49,45
Donald J. Trump,contact@win.donaldjtrump.com,"Elon looks great in Dark MAGA, I know you will too!",11/1/24 22:13,2024,11,1,22,13,win.donaldjtrump.com,R,True,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,,TRUMP NATIONAL COMMITTEE JFC INC.,,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,"TRUMP NATIONAL COMMITTEE JFC INC., A JOINT FUNDRAISING COMMITTEE COMPOSED OF AND AUTHORIZED BY DONALD J. TRUMP FOR PRESIDENT 2024, INC. AND THE REPUBLICAN NATIONAL COMMITTEE",TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,TRUMP NATIONAL COMMITTEE JFC INC.,48,47
